sku,product_name,category,warehouse,stock_quantity,reorder_level
SKU00001,Product 1,Beauty,WH-BLR,202,15
SKU00002,Product 2,Apparel,WH-HYD,416,13
SKU00003,Product 3,Electronics,WH-DEL,355,39
SKU00004,Product 4,Sports,WH-BLR,140,15
SKU00005,Product 5,Beauty,WH-MUM,463,36
SKU00006,Product 6,Electronics,WH-HYD,487,24
SKU00007,Product 7,Apparel,WH-DEL,3,38
SKU00008,Product 8,Beauty,WH-BLR,109,25
SKU00009,Product 9,Sports,WH-HYD,426,50
SKU00010,Product 10,Electronics,WH-DEL,337,10
SKU00011,Product 11,Books,WH-MUM,50,46
SKU00012,Product 12,Beauty,WH-BLR,87,14
SKU00013,Product 13,Toys,WH-PUN,423,49
SKU00014,Product 14,Apparel,WH-BLR,436,26
SKU00015,Product 15,Electronics,WH-HYD,7,14
SKU00016,Product 16,Sports,WH-HYD,106,31
SKU00017,Product 17,Toys,WH-PUN,138,37
SKU00018,Product 18,Beauty,WH-DEL,474,20
SKU00019,Product 19,Books,WH-MUM,468,15
SKU00020,Product 20,Home,WH-BLR,499,31
SKU00021,Product 21,Books,WH-DEL,277,27
SKU00022,Product 22,Beauty,WH-DEL,424,14
SKU00023,Product 23,Sports,WH-DEL,424,12
SKU00024,Product 24,Home,WH-MUM,489,13
SKU00025,Product 25,Home,WH-BLR,42,14
SKU00026,Product 26,Electronics,WH-PUN,362,30
SKU00027,Product 27,Toys,WH-HYD,312,13
SKU00028,Product 28,Apparel,WH-HYD,425,35
SKU00029,Product 29,Toys,WH-BLR,307,27
SKU00030,Product 30,Toys,WH-HYD,407,41
SKU00031,Product 31,Beauty,WH-HYD,310,13
SKU00032,Product 32,Home,WH-MUM,433,42
SKU00033,Product 33,Home,WH-HYD,431,19
SKU00034,Product 34,Beauty,WH-MUM,162,10
SKU00035,Product 35,Home,WH-BLR,428,21
SKU00036,Product 36,Beauty,WH-MUM,158,13
SKU00037,Product 37,Sports,WH-MUM,198,42
SKU00038,Product 38,Toys,WH-DEL,212,41
SKU00039,Product 39,Toys,WH-MUM,172,16
SKU00040,Product 40,Sports,WH-BLR,378,41
SKU00041,Product 41,Beauty,WH-DEL,397,17
SKU00042,Product 42,Sports,WH-PUN,153,16
SKU00043,Product 43,Electronics,WH-MUM,195,45
SKU00044,Product 44,Electronics,WH-PUN,10,41
SKU00045,Product 45,Toys,WH-MUM,343,32
SKU00046,Product 46,Beauty,WH-DEL,466,45
SKU00047,Product 47,Beauty,WH-HYD,87,45
SKU00048,Product 48,Toys,WH-MUM,195,12
SKU00049,Product 49,Home,WH-MUM,134,15
SKU00050,Product 50,Home,WH-MUM,461,18
SKU00051,Product 51,Home,WH-BLR,319,35
SKU00052,Product 52,Toys,WH-DEL,252,43
SKU00053,Product 53,Electronics,WH-MUM,275,12
SKU00054,Product 54,Home,WH-DEL,33,24
SKU00055,Product 55,Books,WH-PUN,224,36
SKU00056,Product 56,Apparel,WH-HYD,394,42
SKU00057,Product 57,Sports,WH-HYD,129,12
SKU00058,Product 58,Apparel,WH-MUM,150,14
SKU00059,Product 59,Books,WH-PUN,210,42
SKU00060,Product 60,Home,WH-BLR,59,10
SKU00061,Product 61,Beauty,WH-PUN,227,15
SKU00062,Product 62,Books,WH-DEL,224,12
SKU00063,Product 63,Sports,WH-DEL,219,26
SKU00064,Product 64,Beauty,WH-MUM,112,46
SKU00065,Product 65,Apparel,WH-BLR,241,48
SKU00066,Product 66,Books,WH-HYD,,35
SKU00067,Product 67,Books,WH-DEL,210,13
SKU00068,Product 68,Home,WH-DEL,160,39
SKU00069,Product 69,Electronics,WH-MUM,401,12
SKU00070,Product 70,Toys,WH-HYD,14,37
SKU00071,Product 71,Electronics,WH-HYD,7,32
SKU00072,Product 72,Electronics,WH-PUN,387,10
SKU00073,Product 73,Beauty,WH-HYD,2,45
SKU00074,Product 74,Apparel,WH-PUN,128,28
SKU00075,Product 75,Home,WH-MUM,498,39
SKU00076,Product 76,Electronics,WH-PUN,223,50
SKU00077,Product 77,Beauty,WH-HYD,219,12
SKU00078,Product 78,Beauty,WH-HYD,221,18
SKU00079,Product 79,Electronics,WH-PUN,352,20
SKU00080,Product 80,Toys,WH-BLR,,45
SKU00081,Product 81,Apparel,WH-MUM,388,47
SKU00082,Product 82,Electronics,WH-MUM,442,23
SKU00083,Product 83,Books,WH-PUN,5,19
SKU00084,Product 84,Home,WH-BLR,56,38
SKU00085,Product 85,Apparel,WH-MUM,487,49
SKU00086,Product 86,Sports,WH-BLR,248,22
SKU00087,Product 87,Toys,WH-HYD,216,27
SKU00088,Product 88,Books,WH-DEL,401,43
SKU00089,Product 89,Sports,WH-DEL,347,20
SKU00090,Product 90,Toys,WH-DEL,351,32
SKU00091,Product 91,Sports,WH-MUM,303,28
SKU00092,Product 92,Beauty,WH-HYD,352,47
SKU00093,Product 93,Toys,WH-PUN,376,44
SKU00094,Product 94,Electronics,WH-BLR,14,20
SKU00095,Product 95,Toys,WH-HYD,175,18
SKU00096,Product 96,Sports,WH-BLR,31,36
SKU00097,Product 97,Books,WH-DEL,49,45
SKU00098,Product 98,Electronics,WH-BLR,276,32
SKU00099,Product 99,Toys,WH-DEL,251,14
SKU00100,Product 100,Beauty,WH-BLR,435,13
SKU00101,Product 101,Books,WH-HYD,376,25
SKU00102,Product 102,Electronics,WH-BLR,234,33
SKU00103,Product 103,Home,WH-PUN,474,32
SKU00104,Product 104,Sports,WH-DEL,453,30
SKU00105,Product 105,Beauty,WH-HYD,63,34
SKU00106,Product 106,Electronics,WH-HYD,385,36
SKU00107,Product 107,Sports,WH-HYD,77,32
SKU00108,Product 108,Toys,WH-HYD,277,22
SKU00109,Product 109,Toys,WH-DEL,197,18
SKU00110,Product 110,Home,WH-BLR,399,34
SKU00111,Product 111,Beauty,WH-BLR,262,19
SKU00112,Product 112,Electronics,WH-PUN,414,19
SKU00113,Product 113,Home,WH-MUM,91,33
SKU00114,Product 114,Toys,WH-PUN,23,11
SKU00115,Product 115,Sports,WH-MUM,198,11
SKU00116,Product 116,Beauty,WH-PUN,313,39
SKU00117,Product 117,Apparel,WH-PUN,419,41
SKU00118,Product 118,Electronics,WH-PUN,466,22
SKU00119,Product 119,Home,WH-DEL,325,13
SKU00120,Product 120,Books,WH-DEL,26,37
SKU00121,Product 121,Home,WH-PUN,199,28
SKU00122,Product 122,Home,WH-BLR,263,46
SKU00123,Product 123,Electronics,WH-DEL,118,27
SKU00124,Product 124,Electronics,WH-BLR,220,30
SKU00125,Product 125,Books,WH-HYD,428,10
SKU00126,Product 126,Sports,WH-PUN,362,50
SKU00127,Product 127,Electronics,WH-HYD,254,27
SKU00128,Product 128,Toys,WH-BLR,289,40
SKU00129,Product 129,Sports,WH-DEL,190,28
SKU00130,Product 130,Beauty,WH-PUN,144,13
SKU00131,Product 131,Toys,WH-MUM,325,45
SKU00132,Product 132,Apparel,WH-DEL,420,26
SKU00133,Product 133,Electronics,WH-BLR,240,41
SKU00134,Product 134,Sports,WH-PUN,335,11
SKU00135,Product 135,Toys,WH-HYD,81,37
SKU00136,Product 136,Home,WH-DEL,134,22
SKU00137,Product 137,Books,WH-DEL,2,30
SKU00138,Product 138,Books,WH-DEL,471,17
SKU00139,Product 139,Sports,WH-PUN,458,30
SKU00140,Product 140,Beauty,WH-MUM,468,29
SKU00141,Product 141,Apparel,WH-PUN,246,42
SKU00142,Product 142,Electronics,WH-PUN,396,28
SKU00143,Product 143,Beauty,WH-MUM,92,11
SKU00144,Product 144,Apparel,WH-PUN,195,20
SKU00145,Product 145,Home,WH-DEL,256,38
SKU00146,Product 146,Home,WH-MUM,83,24
SKU00147,Product 147,Electronics,WH-MUM,94,18
SKU00148,Product 148,Sports,WH-MUM,,14
SKU00149,Product 149,Toys,WH-MUM,163,13
SKU00150,Product 150,Electronics,WH-BLR,,31
SKU00151,Product 151,Home,WH-HYD,80,15
SKU00152,Product 152,Toys,WH-HYD,47,45
SKU00153,Product 153,Beauty,WH-MUM,261,10
SKU00154,Product 154,Home,WH-DEL,368,23
SKU00155,Product 155,Sports,WH-DEL,443,43
SKU00156,Product 156,Home,WH-DEL,325,42
SKU00157,Product 157,Home,WH-DEL,12,28
SKU00158,Product 158,Apparel,WH-DEL,52,10
SKU00159,Product 159,Home,WH-DEL,252,27
SKU00160,Product 160,Home,WH-DEL,376,31
SKU00161,Product 161,Sports,WH-PUN,219,23
SKU00162,Product 162,Toys,WH-BLR,110,40
SKU00163,Product 163,Books,WH-PUN,208,19
SKU00164,Product 164,Toys,WH-HYD,401,45
SKU00165,Product 165,Sports,WH-MUM,292,38
SKU00166,Product 166,Apparel,WH-PUN,,39
SKU00167,Product 167,Sports,WH-BLR,428,12
SKU00168,Product 168,Apparel,WH-MUM,290,21
SKU00169,Product 169,Apparel,WH-PUN,435,13
SKU00170,Product 170,Electronics,WH-MUM,192,36
SKU00171,Product 171,Beauty,WH-DEL,101,38
