order_item_id,order_id,sku,quantity,unit_price
OI00000001,ORD0043145,SKU02732,7,765.2
OI00000002,ORD0033708,SKU00762,2,1767.12
OI00000003,ORD0031641,SKU02028,1,2898.29
OI00000004,ORD0028894,SKU04354,10,2578.68
OI00000005,ORD0002016,SKU03359,9,379.12
OI00000006,ORD0043222,SKU03499,2,257.82
OI00000007,ORD0047775,SKU00684,10,1942.22
OI00000008,ORD0007202,SKU01030,6,2516.16
OI00000009,ORD0045073,SKU03601,7,2070.98
OI00000010,ORD0044603,SKU04888,8,748.97
OI00000011,ORD0028671,SKU04555,9,124.99
OI00000012,ORD0043395,SKU04243,8,169.29
OI00000013,ORD0048013,SKU00938,5,2901.67
OI00000014,ORD0017116,SKU00353,3,2335.42
OI00000015,ORD0020393,SKU01492,5,440.89
OI00000016,ORD0025864,SKU00261,2,2570.31
OI00000017,ORD0014109,SKU01789,4,2176.31
OI00000018,ORD0023243,SKU01116,10,2524.09
OI00000019,ORD0049036,SKU00820,9,2306.2
OI00000020,ORD0049554,SKU04018,6,1430.86
OI00000021,ORD0004555,SKU00189,7,711.28
OI00000022,ORD0001110,SKU04990,2,203.48
OI00000023,ORD0047855,SKU04666,9,731.25
OI00000024,ORD0036967,SKU02935,1,2531.67
OI00000025,ORD0035530,SKU02482,9,2263.29
OI00000026,ORD0040810,SKU00482,8,1962.22
OI00000027,ORD0008999,SKU02551,4,1419.06
OI00000028,ORD0028621,SKU04767,10,1939.91
OI00000029,ORD0007412,SKU03342,9,2859.83
OI00000030,ORD0048835,SKU03683,2,115.12
OI00000031,ORD0047869,SKU03814,5,841.2
OI00000032,ORD0020601,SKU01381,2,1228.56
OI00000033,ORD0014643,SKU02917,3,2521.43
OI00000034,ORD0035026,SKU01715,5,2432.86
OI00000035,ORD0037561,SKU03872,2,2489.43
OI00000036,ORD0048158,SKU02355,2,1633.13
OI00000037,ORD0015655,SKU02677,6,2125.34
OI00000038,ORD0006896,SKU02258,1,151.14
OI00000039,ORD0024524,SKU00002,3,2031.74
OI00000040,ORD0028548,SKU04365,1,651.48
OI00000041,ORD0016937,SKU02054,7,2454.66
OI00000042,ORD0006363,SKU00305,7,1442.2
OI00000043,ORD0005238,SKU04428,4,2443.45
OI00000044,ORD0003690,SKU02488,8,1462.29
OI00000045,ORD0025737,SKU01943,9,1611.2
OI00000046,ORD0002362,SKU01159,6,2479.63
OI00000047,ORD0045454,SKU01518,8,368.2
OI00000048,ORD0032217,SKU04866,6,58.96
OI00000049,ORD0044375,SKU03879,1,338.93
OI00000050,ORD0013824,SKU04516,2,812.49
OI00000051,ORD0030311,SKU03060,8,2651.8
OI00000052,ORD0040161,SKU03618,4,2575.03
