order_id,customer_id,order_date,status,total_amount,region,category,warehouse
ORD0006745,CUST005936,2026-07-14 06:31:37,placed,12390.52,South,Books,WH-HYD
ORD0032675,CUST002305,2026-04-05 09:43:12,delivered,14664.64,Central,Sports,WH-BLR
ORD0018160,CUST003165,2026-01-03 03:46:10,shipped,11196.85,South,Books,WH-PUN
ORD0024150,CUST009112,2026-05-30 23:19:05,,5709.42,South,Beauty,WH-HYD
ORD0046507,CUST009632,2026-03-30 05:11:07,placed,3831.66,North,Apparel,WH-DEL
ORD0031463,CUST007053,2026-07-17 10:27:47,placed,6693.98,West,Apparel,WH-PUN
ORD0038461,CUST000778,2026-07-08 10:01:38,shipped,9937.18,South,Electronics,WH-PUN
ORD0003252,CUST006461,2026-03-24 23:39:10,delivered,14870.32,Central,Sports,WH-DEL
ORD0008439,CUST000266,2026-04-15 03:40:42,PENDING,6174.58,Central,Home,WH-HYD
ORD0004353,CUST000160,2026-03-09 05:38:32,shipped,13758.66,East,Apparel,WH-MUM
ORD0019782,CUST008007,2026-06-23 09:14:45,placed,12552.38,North,Sports,WH-HYD
ORD0047152,CUST008991,2026-03-10 09:47:37,shipped,10732.05,West,Home,WH-MUM
ORD0043835,CUST006281,2026-03-20 07:40:02,shipped,1576.27,North,Sports,WH-MUM
ORD0032750,CUST002450,2026-02-17 16:06:10,placed,11428.22,North,Electronics,WH-BLR
ORD0007785,CUST003925,2026-07-05 18:16:41,placed,9672.89,East,Sports,WH-BLR
ORD0006144,CUST005758,2026-06-13 03:00:34,placed,13946.71,South,Sports,WH-PUN
ORD0020510,CUST005910,2026-03-26 04:09:25,delivered,8484.63,East,Beauty,WH-MUM
ORD0023761,CUST001421,2026-01-18 20:38:18,shipped,165.62,Central,Electronics,WH-MUM
ORD0023345,CUST009639,2026-03-27 18:43:42,shipped,9103.91,East,Apparel,WH-PUN
ORD0028778,CUST002219,2026-05-29 18:52:19,N/A,1682.4,North,Electronics,WH-PUN
ORD0008070,CUST009793,2026-01-11 13:57:27,in_transit,13768.43,South,Toys,WH-DEL
ORD0005121,CUST006433,2026-04-19 10:02:35,cancelled,3069.68,West,Beauty,WH-BLR
ORD0032527,CUST002611,2026-05-13 13:31:20,cancelled,8218.37,West,Books,WH-PUN
ORD0025724,CUST003398,2026-07-28 01:07:15,in_transit,5843.95,West,Toys,WH-MUM
ORD0038975,CUST007621,2026-07-14 22:36:09,shipped,3672.85,North,Books,WH-PUN
ORD0014961,CUST007446,2026-06-01 18:40:30,,1737.47,East,Home,WH-DEL
ORD0012732,CUST006599,2026-02-25 12:00:54,placed,5017.63,North,Electronics,WH-BLR
ORD0002639,CUST002767,2026-03-06 22:57:09,delivered,8495.27,East,Apparel,WH-DEL
ORD0041595,CUST001302,2026-03-08 23:37:50,shipped,1412.87,East,Toys,WH-MUM
ORD0001373,CUST004136,2026-02-26 16:47:18,delivered,6310.45,South,Toys,WH-PUN
ORD0042867,CUST006701,2026-04-18 01:02:51,cancelled,6815.4,North,Toys,WH-DEL
ORD0009659,CUST007444,2026-07-16 15:35:54,delivered,7645.91,Central,Books,WH-PUN
ORD0044712,CUST004520,2026-03-01 19:27:15,shipped,11948.79,Central,Toys,WH-DEL
ORD0037448,CUST004030,2026-04-06 02:44:49,placed,8874.93,East,Toys,WH-HYD
ORD0036810,CUST009296,2026-01-19 23:58:15,cancelled,9071.2,South,Toys,WH-DEL
ORD0044890,CUST005810,2026-07-29 14:25:35,unknown,10507.91,South,Sports,WH-BLR
ORD0040233,CUST001232,2026-01-26 01:58:33,shipped,10426.57,Central,Electronics,WH-HYD
ORD0001303,CUST004291,2026-03-03 13:27:28,shipped,14385.86,North,Toys,WH-BLR
ORD0038157,CUST005023,2026-06-05 01:17:47,shipped,4296.86,East,Home,WH-HYD
ORD0002110,CUST005719,2026-06-26 07:31:24,placed,4596.55,East,Books,WH-MUM
ORD0008990,CUST007890,2026-05-25 05:50:46,shipped,9653.71,South,Books,WH-HYD
ORD0023366,CUST005217,2026-06-17 19:35:17,N/A,962.7,South,Books,WH-MUM
ORD0019402,CUST002522,2026-05-26 23:02:14,cancelled,1989.16,North,Apparel,WH-HYD
ORD0030698,CUST002530,2026-06-20 01:06:26,placed,819.48,East,Home,WH-BLR
ORD0015851,CUST001030,2026-02-03 09:51:28,placed,3092.46,North,Apparel,WH-DEL
ORD0040262,CUST002879,2026-04-10 06:18:17,cancelled,567.5,East,Home,WH-HYD
ORD0031723,CUST002810,2026-03-21 19:15:31,delivered,774.13,East,Toys,WH-DEL
ORD0040790,CUST009320,2026-05-20 02:36:01,cancelled,11890.66,North,Sports,WH-BLR
ORD0002977,CUST001083,2026-04-21 13:08:33,delivered,9158.22,Central,Apparel,WH-DEL
ORD0015967,CUST002265,2026-07-19 15:30:44,placed,6814.93,Central,Home,WH-HYD
ORD0038564,CUST006694,2026-01-24 09:54:54,delivered,7417.73,East,Beauty,WH-MUM
ORD0042955,CUST000181,2026-05-10 14:11:22,delivered,6089.08,South,Toys,WH-MUM
ORD0010721,CUST006948,2026-02-07 17:44:38,PENDING,9238.16,Central,Books,WH-BLR
