product_id,old_name,category,base_price,quantity,status,region,priority,user_id,price,amount
P00001,Novel,Home,540.13,2,Completed,North,High,U1405,540.13,1080.26
P00002,Mixer,Clothing,1358.47,6,Completed,North,Medium,U0669,1358.47,8150.82
P00003,Face Wash,Books,553.33,7,Completed,West,Low,U0207,553.33,3873.31
P00004,Novel,Electronics,594.61,1,Completed,South,Medium,U0850,594.61,594.61
P00005,T-Shirt,Clothing,1075.16,2,Cancelled,North,High,U0246,1075.16,2150.32
P00006,Face Wash,Sports,4999.26,2,Pending,North,High,U0884,4999.26,9998.52
P00007,Face Wash,Beauty,110.7,6,Completed,East,High,U0083,110.70,664.2
P00008,Novel,Sports,3229.5,4,Returned,East,High,U0317,3229.50,12918.0
P00009,Headphones,Beauty,792.09,7,Completed,West,Low,U0645,792.09,5544.63
P00010,T-Shirt,Sports,4611.08,4,Completed,West,Medium,U1129,4611.08,18444.32
P00011,Novel,Home,558.8,5,Pending,West,High,U0370,558.80,2794.0
P00012,T-Shirt,Clothing,4779.81,1,Pending,East,Low,U0749,4779.81,4779.81
P00013,T-Shirt,Beauty,3093.54,4,Completed,West,Medium,U0630,3093.54,12374.16
P00014,Face Wash,Electronics,106.21,6,Completed,North,High,U0180,106.21,637.26
P00015,Mixer,Clothing,4480.64,7,Completed,North,High,U0602,4480.64,31364.48
P00016,T-Shirt,Electronics,2656.39,4,Completed,South,High,U0600,2656.39,10625.56
P00017,Running Shoes,Clothing,1387.08,5,Completed,West,High,U1107,1387.08,6935.4
P00018,Face Wash,Clothing,3859.67,3,Completed,North,Low,U0841,3859.67,11579.01
P00019,Headphones,Sports,4640.66,5,Completed,North,High,U0348,4640.66,23203.3
P00020,Mixer,Beauty,2470.09,2,Pending,South,Low,U1296,2470.09,4940.18
P00021,Running Shoes,Beauty,1646.21,7,Completed,North,Medium,U0331,1646.21,11523.47
P00022,Running Shoes,Clothing,3965.83,2,Cancelled,South,Low,U0610,3965.83,7931.66
P00023,Headphones,Home,3440.75,4,Completed,South,Low,U0744,3440.75,13763.0
P00024,Mixer,Home,4454.89,4,Cancelled,East,High,U0569,4454.89,17819.56
P00025,Face Wash,Electronics,3493.32,5,Completed,North,Low,U0389,3493.32,17466.6
