item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM000001,ORD00953,PROD0480,3,215.24,10
ITEM000002,ORD00728,PROD0444,5,229.86,0
ITEM000003,ORD00321,PROD0131,1,758.83,30
ITEM000004,ORD00288,PROD0441,3,438.73,10
ITEM000005,ORD00628,PROD0530,3,483.26,5
ITEM000006,ORD00324,PROD0155,4,842.4,25
ITEM000007,ORD00652,PROD0055,4,299.6,0
ITEM000008,ORD00236,PROD0037,2,715.97,5
ITEM000009,ORD00723,PROD0447,4,191.72,15
ITEM000010,ORD00042,PROD0366,4,1483.45,20
ITEM000011,ORD00497,PROD0505,4,186.49,25
ITEM000012,ORD00888,PROD0127,2,537.41,5
ITEM000013,ORD00890,PROD0185,3,1255.73,25
ITEM000014,ORD00521,PROD0577,3,1338.52,20
ITEM000015,ORD00218,PROD0005,5,798.5,20
ITEM000016,ORD00185,PROD0079,4,384.31,15
ITEM000017,ORD00694,PROD0337,1,58.42,25
ITEM000018,ORD00697,PROD0404,1,572.87,0
ITEM000019,ORD00858,PROD0158,3,62.73,15
ITEM000020,ORD00851,PROD0465,4,949.97,10
ITEM000021,ORD00609,PROD0338,1,1455.26,25
ITEM000022,ORD00638,PROD0333,4,1422.18,25
ITEM000023,ORD00929,PROD0133,5,332.82,0
ITEM000024,ORD00821,PROD0331,3,1201.26,25
ITEM000025,ORD00073,PROD0391,5,156.98,10
ITEM000026,ORD00183,PROD0409,2,152.0,30
ITEM000027,ORD00214,PROD0398,2,1173.65,10
ITEM000028,ORD00663,PROD0124,2,461.85,30
ITEM000029,ORD00443,PROD0135,3,551.39,0
ITEM000030,ORD00853,PROD0525,3,315.81,15
ITEM000031,ORD00907,PROD0488,4,417.35,20
ITEM000032,ORD00434,PROD0433,1,1220.27,20
ITEM000033,ORD00191,PROD0437,-3,157.56,20
ITEM000034,ORD00350,PROD0230,4,978.46,25
ITEM000035,ORD00159,PROD0540,4,951.75,20
ITEM000036,ORD00086,PROD0480,3,667.29,30
ITEM000037,ORD00490,PROD0153,3,1476.6,25
ITEM000038,ORD00925,PROD0255,3,794.18,10
ITEM000039,ORD00583,PROD0565,1,133.27,0
ITEM000040,ORD00526,PROD0523,1,648.87,0
