order_id,customer_id,order_date,status,region_code
ORD00001,CUST0477,2024-10-08 06:20:36,CANCELLED,SOUTH
ORD00002,CUST0400,2025-04-14 21:07:36,DELIVERED,NORTH
ORD00003,CUST0463,2025-08-23 15:28:36,SHIPPED,NORTH
ORD00004,CUST0276,2025-08-31 10:32:36,RETURNED,NORTH
ORD00005,CUST0075,2025-02-18 07:40:36,RETURNED,SOUTH
ORD00006,CUST0493,2025-03-10 23:13:36,PLACED,SOUTH
ORD00007,CUST0196,2024-12-08 12:42:36,CANCELLED,SOUTH
ORD00008,CUST0211,2025-09-19 20:29:36,DELIVERED,EAST
ORD00009,CUST0392,2025-11-30 06:35:36,DELIVERED,EAST
ORD00010,CUST0269,2025-08-13 05:50:36,CANCELLED,WEST
ORD00011,CUST0101,2025-12-02 23:52:36,SHIPPED,EAST
ORD00012,CUST0322,2025-10-06 14:30:36,SHIPPED,SOUTH
ORD00013,CUST0017,2025-05-04 06:53:36,RETURNED,WEST
ORD00014,CUST0304,2025-01-12 19:15:36,SHIPPED,WEST
ORD00015,CUST0586,2025-04-18 04:29:36,DELIVERED,EAST
ORD00016,CUST0503,2026-05-29 12:25:36,CANCELLED,SOUTH
ORD00017,CUST0363,2025-01-29 17:40:36,RETURNED,WEST
ORD00018,CUST0190,2026-02-16 08:57:36,RETURNED,NORTH
ORD00019,CUST0077,2026-06-24 14:42:36,PLACED,WEST
ORD00020,,2026-05-16 19:58:36,SHIPPED,NORTH
ORD00021,CUST0225,2026-01-09 03:17:36,PLACED,WEST
ORD00022,CUST0502,2024-08-25 13:28:36,RETURNED,WEST
ORD00023,CUST0013,2024-08-27 05:40:36,DELIVERED,EAST
ORD00024,CUST0018,2026-01-06 11:37:36,CANCELLED,SOUTH
ORD00025,CUST0110,2024-11-16 05:03:36,SHIPPED,SOUTH
ORD00026,CUST0542,2025-04-25 00:11:36,CANCELLED,NORTH
ORD00027,CUST0385,2025-09-29 03:30:36,SHIPPED,SOUTH
ORD00028,CUST0309,2026-07-10 15:35:36,PLACED,NORTH
ORD00029,CUST0418,2025-09-02 01:29:36,CANCELLED,NORTH
ORD00030,CUST0010,2026-07-29 17:59:36,CANCELLED,WEST
ORD00031,CUST0341,2026-03-11 16:51:36,RETURNED,NORTH
ORD00032,CUST0237,2025-03-14 11:50:36,RETURNED,WEST
ORD00033,CUST0279,2024-09-25 15:37:36,DELIVERED,NORTH
ORD00034,CUST0185,2025-06-27 13:07:36,RETURNED,SOUTH
ORD00035,CUST0410,2024-10-26 22:04:36,RETURNED,SOUTH
ORD00036,CUST0583,2025-09-12 10:51:36,RETURNED,EAST
ORD00037,CUST0396,2024-12-31 11:40:36,PLACED,EAST
ORD00038,CUST0055,2024-11-18 02:08:36,PLACED,EAST
ORD00039,CUST0409,2025-07-09 13:34:36,DELIVERED,WEST
ORD00040,,2025-03-31 00:29:36,CANCELLED,WEST
ORD00041,CUST0192,2026-07-07 07:36:36,CANCELLED,NORTH
ORD00042,CUST0304,2025-04-19 10:58:36,PLACED,EAST
ORD00043,CUST0159,2025-09-03 11:44:36,SHIPPED,WEST
ORD00044,CUST0326,2025-08-13 15:59:36,PLACED,EAST
ORD00045,CUST0458,2025-08-12 21:00:36,SHIPPED,NORTH
ORD00046,CUST0193,2025-10-25 03:29:36,RETURNED,WEST
ORD00047,CUST0106,2024-09-04 15:16:36,RETURNED,NORTH
ORD00048,CUST0334,2025-09-07 13:12:36,CANCELLED,WEST
ORD00049,CUST0087,2026-03-04 20:30:36,RETURNED,SOUTH
ORD00050,CUST0392,2025-01-29 17:11:36,DELIVERED,EAST
ORD00051,CUST0507,2025-01-05 15:04:36,CANCELLED,EAST
ORD00052,CUST0434,2025-06-12 04:44:36,PLACED,EAST
ORD00053,CUST0259,2025-04-19 12:34:36,CANCELLED,SOUTH
ORD00054,CUST0471,2024-11-26 17:13:36,PLACED,WEST
ORD00055,CUST0342,2026-05-07 01:45:36,DELIVERED,WEST
ORD00056,CUST0344,2025-10-24 09:32:36,SHIPPED,EAST
ORD00057,CUST0330,2026-04-19 11:06:36,CANCELLED,EAST
ORD00058,CUST0183,2025-09-20 23:12:36,CANCELLED,SOUTH
ORD00059,CUST0335,2025-08-29 21:46:36,CANCELLED,EAST
ORD00060,,2026-03-09 19:31:36,RETURNED,SOUTH
ORD00061,CUST0566,2024-09-06 12:23:36,SHIPPED,WEST
ORD00062,CUST0300,2026-07-19 15:46:36,CANCELLED,WEST
ORD00063,CUST0143,2026-05-19 22:09:36,DELIVERED,SOUTH
ORD00064,CUST0436,2025-08-30 15:22:36,RETURNED,WEST
ORD00065,CUST0599,2025-09-24 06:26:36,CANCELLED,NORTH
ORD00066,CUST0371,2026-07-29 06:32:36,PLACED,NORTH
ORD00067,CUST0256,2026-06-14 10:16:36,SHIPPED,NORTH
