product_id,product_name,category,subcategory,cost_price
PROD0001,Sofa,Home,Home - General,447.37
PROD0002,Hoodie,Clothing,Clothing - General,478.45
PROD0003,Shirt,Clothing,Clothing - General,93.95
PROD0004,Chair,Home,Home - General,820.24
PROD0005,Shirt,Clothing,Clothing - General,317.32
PROD0006,Jeans,Clothing,Clothing - General,34.18
PROD0007,Shoes,Clothing,Clothing - General,615.16
PROD0008,Keyboard,Electronics,Electronics - General,420.3
PROD0009,Shirt,Clothing,Clothing - General,699.39
PROD0010,Data Science Book,Books,Books - General,251.54
PROD0011,Laptop,Electronics,Electronics - General,780.64
PROD0012,Jeans,Clothing,Clothing - General,806.07
PROD0013,Novel,Books,Books - General,561.83
PROD0014,Keyboard,Electronics,Electronics - General,142.01
PROD0015,History Book,Books,Books - General,988.01
PROD0016,Sofa,Home,Home - General,616.53
PROD0017,History Book,Books,Books - General,451.45
PROD0018,Shirt,Clothing,Clothing - General,862.88
PROD0019,SQL Book,Books,Books - General,754.26
PROD0020,Curtains,Home,Home - General,489.75
PROD0021,Jacket,Clothing,Clothing - General,445.47
PROD0022,Table,Home,Home - General,279.0
PROD0023,Curtains,Home,Home - General,89.77
PROD0024,Jeans,Clothing,Clothing - General,389.2
PROD0025,Shirt,Clothing,Clothing - General,221.81
PROD0026,Data Science Book,Books,Books - General,337.57
PROD0027,Data Science Book,Books,Books - General,71.64
PROD0028,Data Science Book,Books,Books - General,905.79
PROD0029,Mouse,Electronics,Electronics - General,386.58
PROD0030,Headphones,Electronics,Electronics - General,305.63
PROD0031,Data Science Book,Books,Books - General,542.84
PROD0032,Shoes,Clothing,Clothing - General,227.23
PROD0033,Data Science Book,Books,Books - General,38.73
PROD0034,Pillow,Home,Home - General,682.35
PROD0035,Python Book,Books,Books - General,842.1
PROD0036,Hoodie,Clothing,Clothing - General,538.78
PROD0037,History Book,Books,Books - General,568.75
PROD0038,Laptop,Electronics,Electronics - General,646.32
PROD0039,Shoes,Clothing,Clothing - General,189.91
PROD0040,  sofa  ,Home,Home - General,334.08
PROD0041,SQL Book,Books,Books - General,344.13
PROD0042,SQL Book,Books,Books - General,754.49
PROD0043,SQL Book,Books,Books - General,836.56
PROD0044,Novel,Books,Books - General,751.53
PROD0045,Headphones,Electronics,Electronics - General,231.98
PROD0046,Monitor,Electronics,Electronics - General,49.86
PROD0047,Smartphone,Electronics,Electronics - General,207.37
PROD0048,Mouse,Electronics,Electronics - General,160.86
PROD0049,Shoes,Clothing,Clothing - General,672.76
PROD0050,Shoes,Clothing,Clothing - General,702.47
PROD0051,Table,Home,Home - General,609.83
PROD0052,Smartphone,Electronics,Electronics - General,965.07
PROD0053,Mouse,Electronics,Electronics - General,35.42
PROD0054,Curtains,Home,Home - General,680.57
PROD0055,Data Science Book,Books,Books - General,942.06
PROD0056,T-Shirt,Clothing,Clothing - General,596.18
PROD0057,T-Shirt,Clothing,Clothing - General,700.22
PROD0058,Pillow,Home,Home - General,604.41
PROD0059,Mouse,Electronics,Electronics - General,784.81
PROD0060,Curtains,Home,Home - General,434.09
PROD0061,Chair,Home,Home - General,510.9
PROD0062,Chair,Home,Home - General,851.08
PROD0063,Novel,Books,Books - General,439.19
PROD0064,Pillow,Home,Home - General,892.66
PROD0065,Python Book,Books,Books - General,441.13
PROD0066,Curtains,Home,Home - General,810.12
PROD0067,Data Science Book,Books,Books - General,441.22
PROD0068,Lamp,Home,Home - General,853.2
PROD0069,Headphones,Electronics,Electronics - General,882.81
PROD0070,Shoes,Clothing,Clothing - General,574.15
PROD0071,SQL Book,Books,Books - General,38.41
PROD0072,Table,Home,Home - General,492.67
PROD0073,Lamp,Home,Home - General,346.94
PROD0074,Curtains,Home,Home - General,20.05
PROD0075,T-Shirt,Clothing,Clothing - General,248.94
PROD0076,Data Science Book,Books,Books - General,559.62
PROD0077,Shirt,Clothing,Clothing - General,481.33
PROD0078,Data Science Book,Books,Books - General,795.0
PROD0079,Headphones,Electronics,Electronics - General,229.38
PROD0080,  jacket  ,Clothing,Clothing - General,667.32
PROD0081,Sofa,Home,Home - General,557.94
PROD0082,Sofa,Home,Home - General,996.67
PROD0083,Lamp,Home,Home - General,705.83
PROD0084,Lamp,Home,Home - General,258.89
PROD0085,Monitor,Electronics,Electronics - General,200.66
PROD0086,Monitor,Electronics,Electronics - General,540.51
PROD0087,Jeans,Clothing,Clothing - General,224.22
PROD0088,SQL Book,Books,Books - General,727.34
PROD0089,Chair,Home,Home - General,834.3
PROD0090,Table,Home,Home - General,367.27
PROD0091,Chair,Home,Home - General,710.94
PROD0092,Jacket,Clothing,Clothing - General,55.06
PROD0093,Mouse,Electronics,Electronics - General,299.22
PROD0094,Shirt,Clothing,Clothing - General,869.78
PROD0095,Novel,Books,Books - General,873.99
PROD0096,Sofa,Home,Home - General,483.93
PROD0097,Table,Home,Home - General,965.84
PROD0098,Sofa,Home,Home - General,122.95
PROD0099,Keyboard,Electronics,Electronics - General,496.83
PROD0100,Smartphone,Electronics,Electronics - General,157.71
PROD0101,Chair,Home,Home - General,993.98
PROD0102,Mouse,Electronics,Electronics - General,766.8
PROD0103,Hoodie,Clothing,Clothing - General,386.57
